ID,Type,Sound,Spelling,"Spelling (with ID)"
a,vowel,short,bat,bat
ai,diphthong,,time,taim
aiy,diphthong,,hire,haiy
ar,vowel,long,star,star
au,diphthong,,cow,kau
auw,diphthong,,power,pauw
b,consonant,voiced,bag,bag
ch,consonant,unvoiced,cheese,cheez
d,consonant,voiced,dice,dais
e,vowel,short,leg,leg
ee,vowel,long,three,ttree
ei,diphthong,,plane,plein
eir,diphthong,,pear,peir
er,vowel,long,shirt,shert
eu,diphthong,,home,heum
f,consonant,unvoiced,frog,frog
g,consonant,voiced,glass,glars
h,consonant,unvoiced,head,hed
hh,consonant,unvoiced,loch,lohh
i,vowel,short,dish,dish
ii,vowel,short,happy,hapii
iy,diphthong,,here,hiy
j,consonant,voiced,jam,jam
k,consonant,unvoiced,kit,kit
l,consonant,voiced,lake,leik
m,consonant,voiced,music,myoozik
n,consonant,voiced,nurse,ners
ng,consonant,voiced,ring,ring
o,vowel,short,sock,sok
oo,vowel,long,shoot,shoot
or,vowel,long,ball,borl
oy,diphthong,,toy,toy
p,consonant,unvoiced,pig,pig
r,consonant,voiced,road,reud
s,consonant,unvoiced,snow,sneu
sh,consonant,unvoiced,shop,shop
t,consonant,unvoiced,taxi,taksii
th,consonant,voiced,brother,bruth
tt,consonant,unvoiced,thousand,ttauznd
u,vowel,short,cup,kup
uh,vowel,short,arrive,uhraiv
uu,vowel,short,pull,puul
uuw,diphthong,,pure,pyuuw
v,consonant,voiced,van,van
w,consonant,voiced,week,week
y,consonant,voiced,yoghurt,yogt
z,consonant,voiced,zip,zip
zz,consonant,voiced,revision,rvizzn
